			"Dynamique de la fusée (repère sol)"												"Forces"													"Sous-échantillon 1Hz"				"Accélération longitudinale"	
"pas"	"t"		"acc_x"	"acc_z"	"acc_xz"	"vit_x"	"vit_z"	"vit_xz"	"pos_x"	"pos_z"	"pos_xz"	"Beta"	"BetaD"		"i_P"	"Poussée"	"Débit"	"m"	"Poids"	"R_rampe"	"Rho"	"Trainée"		"Événements"				"Temps"	"x"	"z"		"gravitationnelle"	"non-gravit."
"s"	"s"		"m/s²"	"m/s²"	"m/s²"	"m/s"	"m/s"	"m/s"	"m"	"m"	"m"	"rad"	"°"		"-"	"N"	"kg/s"	"kg"	"N"	"N"	"kg/m3"	"N"						"s"	"m"	"m"		"m/s²"	"m/s²"
0,01	0,48		34,82	177,53	180,92	19,51	104,88	106,68	4,83	26,49	26,92	1,39	79,46		5	154,75	0,07	0,78	7,62	0,00	1,22	6,98		""	""	""		"#N/A"	"#N/A"	26		180,91	190,55
0,01	0,49		34,48	175,51	178,86	19,86	106,64	108,47	5,03	27,55	28,00	1,39	79,45		5	153,25	0,07	0,78	7,61	0,00	1,22	7,22		""	""	""		"#N/A"	"#N/A"	28		178,85	188,50
0,01	0,50		34,13	173,48	176,80	20,20	108,37	110,24	5,23	28,62	29,09	1,39	79,44		5	151,75	0,07	0,78	7,60	0,00	1,22	7,46		""	""	""		"#N/A"	"#N/A"	29		176,79	186,44
0,01	0,51		33,78	171,44	174,74	20,54	110,09	111,99	5,43	29,71	30,21	1,39	79,43		5	150,25	0,07	0,77	7,60	0,00	1,22	7,69		""	""	""		"#N/A"	"#N/A"	30		174,73	184,37
0,01	0,52		33,43	169,39	172,66	20,87	111,78	113,71	5,64	30,82	31,33	1,39	79,42		5	148,75	0,07	0,77	7,59	0,00	1,22	7,93		""	""	""		"#N/A"	"#N/A"	31		172,65	182,30
0,01	0,53		33,07	167,34	170,58	21,20	113,46	115,42	5,85	31,95	32,48	1,39	79,42		5	147,25	0,07	0,77	7,58	0,00	1,22	8,17		""	""	""		"#N/A"	"#N/A"	32		170,57	180,21
0,01	0,54		32,72	165,29	168,49	21,53	115,11	117,10	6,06	33,09	33,64	1,39	79,41		5	145,75	0,07	0,77	7,58	0,00	1,22	8,41		""	""	""		"#N/A"	"#N/A"	33		168,48	178,13
0,01	0,55		32,36	163,22	166,40	21,85	116,74	118,77	6,28	34,25	34,82	1,39	79,40		5	144,25	0,07	0,77	7,57	0,00	1,22	8,65		""	""	""		"#N/A"	"#N/A"	34		166,39	176,03
0,01	0,56		32,00	161,15	164,30	22,17	118,35	120,41	6,50	35,43	36,02	1,39	79,39		5	142,75	0,07	0,77	7,56	0,00	1,22	8,89		""	""	""		"#N/A"	"#N/A"	35		164,29	173,93
0,01	0,57		31,64	159,08	162,20	22,49	119,94	122,03	6,72	36,62	37,23	1,39	79,38		5	141,25	0,07	0,77	7,56	0,00	1,22	9,13		""	""	""		"#N/A"	"#N/A"	37		162,19	171,83
0,01	0,58		31,28	157,00	160,09	22,80	121,51	123,63	6,95	37,82	38,46	1,39	79,37		5	139,75	0,07	0,77	7,55	0,00	1,22	9,37		""	""	""		"#N/A"	"#N/A"	38		160,08	169,72
0,01	0,59		30,91	154,92	157,97	23,11	123,06	125,21	7,18	39,05	39,70	1,39	79,36		5	138,25	0,07	0,77	7,54	0,00	1,22	9,61		""	""	""		"#N/A"	"#N/A"	39		157,96	167,60
0,01	0,60		30,54	152,83	155,85	23,42	124,59	126,77	7,41	40,29	40,96	1,39	79,36		5	136,75	0,07	0,77	7,54	0,00	1,22	9,85		""	""	""		"#N/A"	"#N/A"	40		155,84	165,48
0,01	0,61		30,17	150,73	153,72	23,72	126,10	128,31	7,65	41,54	42,24	1,38	79,35		5	135,25	0,07	0,77	7,53	0,00	1,22	10,09		""	""	""		"#N/A"	"#N/A"	42		153,71	163,36
0,01	0,62		29,80	148,64	151,59	24,01	127,58	129,82	7,89	42,81	43,53	1,38	79,34		5	133,75	0,06	0,77	7,52	0,00	1,22	10,33		""	""	""		"#N/A"	"#N/A"	43		151,58	161,22
0,01	0,63		29,43	146,53	149,46	24,31	129,05	131,32	8,13	44,09	44,83	1,38	79,33		5	132,25	0,06	0,77	7,52	0,00	1,22	10,56		""	""	""		"#N/A"	"#N/A"	44		149,45	159,09
0,01	0,64		29,05	144,43	147,32	24,60	130,49	132,79	8,37	45,39	46,15	1,38	79,32		5	130,75	0,06	0,77	7,51	0,00	1,22	10,80		""	""	""		"#N/A"	"#N/A"	45		147,31	156,95
