			"Dynamique de la fusée (repère sol)"												"Forces"													"Sous-échantillon 1Hz"				"Accélération longitudinale"	
"pas"	"t"		"acc_x"	"acc_z"	"acc_xz"	"vit_x"	"vit_z"	"vit_xz"	"pos_x"	"pos_z"	"pos_xz"	"Beta"	"BetaD"		"i_P"	"Poussée"	"Débit"	"m"	"Poids"	"R_rampe"	"Rho"	"Trainée"		"Événements"				"Temps"	"x"	"z"		"gravitationnelle"	"non-gravit."
"s"	"s"		"m/s²"	"m/s²"	"m/s²"	"m/s"	"m/s"	"m/s"	"m"	"m"	"m"	"rad"	"°"		"-"	"N"	"kg/s"	"kg"	"N"	"N"	"kg/m3"	"N"						"s"	"m"	"m"		"m/s²"	"m/s²"
0,10	4,20		-1,70	-16,64	16,73	22,73	90,44	93,26	103,26	492,32	503,04	1,32	75,89		23	0,00	0,00	0,75	7,36	0,00	1,17	5,09		""	""	""		"#N/A"	"#N/A"	492		-16,56	-7,04
0,10	4,30		-1,66	-16,40	16,48	22,57	88,80	91,63	105,53	501,29	512,27	1,32	75,74		23	0,00	0,00	0,75	7,36	0,00	1,17	4,91		""	""	""		"#N/A"	"#N/A"	501		-16,31	-6,79
0,10	4,40		-1,61	-16,16	16,24	22,40	87,19	90,02	107,78	510,09	521,35	1,32	75,59		23	0,00	0,00	0,75	7,36	0,00	1,16	4,74		""	""	""		"#N/A"	"#N/A"	510		-16,06	-6,55
0,10	4,50		-1,57	-15,93	16,01	22,25	85,60	88,44	110,01	518,72	530,26	1,32	75,43		23	0,00	0,00	0,75	7,36	0,00	1,16	4,57		""	""	""		"#N/A"	"#N/A"	519		-15,82	-6,32
0,10	4,60		-1,53	-15,71	15,78	22,09	84,02	86,88	112,23	527,21	539,02	1,31	75,27		23	0,00	0,00	0,75	7,36	0,00	1,16	4,41		""	""	""		"#N/A"	"#N/A"	527		-15,59	-6,09
0,10	4,70		-1,49	-15,49	15,56	21,94	82,48	85,35	114,43	535,53	547,62	1,31	75,10		23	0,00	0,00	0,75	7,36	0,00	1,16	4,25		""	""	""		"#N/A"	"#N/A"	536		-15,36	-5,87
0,10	4,80		-1,46	-15,28	15,35	21,80	80,95	83,83	116,62	543,70	556,07	1,31	74,93		23	0,00	0,00	0,75	7,36	0,00	1,16	4,09		""	""	""		"#N/A"	"#N/A"	544		-15,14	-5,66
0,10	4,90		-1,42	-15,08	15,15	21,66	79,44	82,34	118,79	551,72	564,36	1,30	74,75		23	0,00	0,00	0,75	7,36	0,00	1,16	3,95		""	""	""		"#N/A"	"#N/A"	552		-14,93	-5,46
0,10	5,00		-1,38	-14,89	14,95	21,52	77,95	80,87	120,95	559,59	572,51	1,30	74,57		23	0,00	0,00	0,75	7,36	0,00	1,16	3,80		""	""	""		5	121	560		-14,73	-5,26
0,10	5,10		-1,35	-14,70	14,76	21,38	76,48	79,41	123,09	567,31	580,51	1,30	74,38		23	0,00	0,00	0,75	7,36	0,00	1,16	3,67		""	""	""		"#N/A"	"#N/A"	567		-14,53	-5,07
0,10	5,20		-1,32	-14,52	14,58	21,25	75,03	77,98	125,22	574,89	588,37	1,29	74,19		23	0,00	0,00	0,75	7,36	0,00	1,16	3,53		""	""	""		"#N/A"	"#N/A"	575		-14,34	-4,89
0,10	5,30		-1,28	-14,34	14,40	21,12	73,59	76,57	127,34	582,32	596,08	1,29	73,98		23	0,00	0,00	0,75	7,36	0,00	1,16	3,40		""	""	""		"#N/A"	"#N/A"	582		-14,15	-4,71
0,10	5,40		-1,25	-14,17	14,23	21,00	72,18	75,17	129,45	589,61	603,65	1,29	73,78		23	0,00	0,00	0,75	7,36	0,00	1,15	3,28		""	""	""		"#N/A"	"#N/A"	590		-13,97	-4,54
0,10	5,50		-1,22	-14,01	14,06	20,88	70,78	73,79	131,54	596,76	611,08	1,28	73,57		23	0,00	0,00	0,75	7,36	0,00	1,15	3,16		""	""	""		"#N/A"	"#N/A"	597		-13,79	-4,37
0,10	5,60		-1,19	-13,85	13,90	20,76	69,39	72,43	133,62	603,76	618,37	1,28	73,35		23	0,00	0,00	0,75	7,36	0,00	1,15	3,04		""	""	""		"#N/A"	"#N/A"	604		-13,62	-4,21
0,10	5,70		-1,16	-13,69	13,74	20,64	68,02	71,09	135,69	610,63	625,53	1,28	73,12		23	0,00	0,00	0,75	7,36	0,00	1,15	2,92		""	""	""		"#N/A"	"#N/A"	611		-13,45	-4,05
0,10	5,80		-1,13	-13,54	13,59	20,53	66,67	69,76	137,75	617,37	632,55	1,27	72,89		23	0,00	0,00	0,75	7,36	0,00	1,15	2,81		""	""	""		"#N/A"	"#N/A"	617		-13,29	-3,90
0,10	5,90		-1,10	-13,40	13,44	20,42	65,33	68,45	139,80	623,97	639,44	1,27	72,64		23	0,00	0,00	0,75	7,36	0,00	1,15	2,71		""	""	""		"#N/A"	"#N/A"	624		-13,13	-3,75
0,10	6,00		-1,08	-13,26	13,30	20,31	64,00	67,15	141,84	630,44	646,19	1,26	72,39		23	0,00	0,00	0,75	7,36	0,00	1,15	2,60		""	""	""		6	142	630		-12,97	-3,61
0,10	6,10		-1,05	-13,12	13,16	20,21	62,69	65,87	143,86	636,77	652,82	1,26	72,14		23	0,00	0,00	0,75	7,36	0,00	1,15	2,50		""	""	""		"#N/A"	"#N/A"	637		-12,82	-3,47
0,10	6,20		-1,02	-12,99	13,03	20,10	61,39	64,60	145,88	642,98	659,32	1,25	71,87		23	0,00	0,00	0,75	7,36	0,00	1,15	2,41		""	""	""		"#N/A"	"#N/A"	643		-12,68	-3,34
0,10	6,30		-1,00	-12,86	12,90	20,00	60,11	63,35	147,88	649,05	665,68	1,25	71,59		23	0,00	0,00	0,75	7,36	0,00	1,15	2,31		""	""	""		"#N/A"	"#N/A"	649		-12,53	-3,21
0,10	6,40		-0,97	-12,74	12,77	19,91	58,83	62,11	149,88	655,00	671,93	1,24	71,31		23	0,00	0,00	0,75	7,36	0,00	1,15	2,22		""	""	""		"#N/A"	"#N/A"	655		-12,39	-3,08
0,10	6,50		-0,95	-12,62	12,65	19,81	57,57	60,88	151,86	660,82	678,04	1,24	71,01		23	0,00	0,00	0,75	7,36	0,00	1,15	2,13		""	""	""		"#N/A"	"#N/A"	661		-12,26	-2,96
0,10	6,60		-0,93	-12,50	12,54	19,72	56,32	59,67	153,84	666,51	684,04	1,23	70,71		23	0,00	0,00	0,75	7,36	0,00	1,15	2,05		""	""	""		"#N/A"	"#N/A"	667		-12,12	-2,85
0,10	6,70		-0,90	-12,39	12,42	19,63	55,08	58,47	155,81	672,08	689,91	1,23	70,39		23	0,00	0,00	0,75	7,36	0,00	1,15	1,97		""	""	""		"#N/A"	"#N/A"	672		-11,99	-2,73
0,10	6,80		-0,88	-12,28	12,31	19,54	53,85	57,29	157,77	677,53	695,66	1,22	70,06		23	0,00	0,00	0,75	7,36	0,00	1,14	1,89		""	""	""		"#N/A"	"#N/A"	678		-11,86	-2,62
0,10	6,90		-0,86	-12,18	12,21	19,45	52,64	56,12	159,72	682,85	701,28	1,22	69,72		23	0,00	0,00	0,75	7,36	0,00	1,14	1,81		""	""	""		"#N/A"	"#N/A"	683		-11,74	-2,52
0,10	7,00		-0,84	-12,07	12,10	19,37	51,43	54,96	161,66	688,06	706,79	1,21	69,36		23	0,00	0,00	0,75	7,36	0,00	1,14	1,73		""	""	""		7	162	688		-11,61	-2,41
0,10	7,10		-0,82	-11,97	12,00	19,29	50,23	53,81	163,59	693,14	712,18	1,20	68,99		23	0,00	0,00	0,75	7,36	0,00	1,14	1,66		""	""	""		"#N/A"	"#N/A"	693		-11,49	-2,31
0,10	7,20		-0,79	-11,88	11,91	19,21	49,04	52,67	165,52	698,10	717,46	1,20	68,61		23	0,00	0,00	0,75	7,36	0,00	1,14	1,59		""	""	""		"#N/A"	"#N/A"	698		-11,37	-2,22
0,10	7,30		-0,77	-11,79	11,81	19,13	47,87	51,55	167,43	702,95	722,61	1,19	68,21		23	0,00	0,00	0,75	7,36	0,00	1,14	1,52		""	""	""		"#N/A"	"#N/A"	703		-11,26	-2,12
0,10	7,40		-0,75	-11,70	11,72	19,06	46,70	50,43	169,34	707,68	727,66	1,18	67,80		23	0,00	0,00	0,75	7,36	0,00	1,14	1,46		""	""	""		"#N/A"	"#N/A"	708		-11,14	-2,03
0,10	7,50		-0,73	-11,61	11,63	18,98	45,54	49,33	171,24	712,29	732,58	1,18	67,37		23	0,00	0,00	0,75	7,36	0,00	1,14	1,39		""	""	""		"#N/A"	"#N/A"	712		-11,03	-1,94
0,10	7,60		-0,72	-11,53	11,55	18,91	44,38	48,24	173,14	716,78	737,40	1,17	66,92		23	0,00	0,00	0,75	7,36	0,00	1,14	1,33		""	""	""		"#N/A"	"#N/A"	717		-10,91	-1,86
0,10	7,70		-0,70	-11,44	11,47	18,84	43,24	47,16	175,03	721,17	742,10	1,16	66,45		23	0,00	0,00	0,75	7,36	0,00	1,14	1,27		""	""	""		"#N/A"	"#N/A"	721		-10,80	-1,78
0,10	7,80		-0,68	-11,37	11,39	18,77	42,10	46,10	176,91	725,43	746,69	1,15	65,97		23	0,00	0,00	0,75	7,36	0,00	1,14	1,22		""	""	""		"#N/A"	"#N/A"	725		-10,69	-1,70
0,10	7,90		-0,66	-11,29	11,31	18,71	40,97	45,04	178,78	729,59	751,17	1,14	65,46		23	0,00	0,00	0,75	7,36	0,00	1,14	1,16		""	""	""		"#N/A"	"#N/A"	730		-10,58	-1,62
0,10	8,00		-0,64	-11,22	11,24	18,64	39,85	44,00	180,65	733,63	755,54	1,13	64,93		23	0,00	0,00	0,75	7,36	0,00	1,14	1,11		""	""	""		8	181	734		-10,47	-1,55
0,10	8,10		-0,63	-11,15	11,16	18,58	38,74	42,96	182,51	737,56	759,80	1,12	64,37		23	0,00	0,00	0,75	7,36	0,00	1,14	1,05		""	""	""		"#N/A"	"#N/A"	738		-10,36	-1,48
0,10	8,20		-0,61	-11,08	11,09	18,52	37,63	41,94	184,36	741,38	763,96	1,11	63,79		23	0,00	0,00	0,75	7,36	0,00	1,14	1,00		""	""	""		"#N/A"	"#N/A"	741		-10,25	-1,41
0,10	8,30		-0,59	-11,01	11,03	18,46	36,53	40,93	186,21	745,08	768,00	1,10	63,19		23	0,00	0,00	0,75	7,36	0,00	1,14	0,96		""	""	""		"#N/A"	"#N/A"	745		-10,14	-1,34
0,10	8,40		-0,58	-10,95	10,96	18,40	35,43	39,93	188,06	748,68	771,94	1,09	62,55		23	0,00	0,00	0,75	7,36	0,00	1,14	0,91		""	""	""		"#N/A"	"#N/A"	749		-10,03	-1,28
0,10	8,50		-0,56	-10,89	10,90	18,35	34,34	38,94	189,89	752,17	775,77	1,08	61,89		23	0,00	0,00	0,75	7,36	0,00	1,14	0,87		""	""	""		"#N/A"	"#N/A"	752		-9,92	-1,21
0,10	8,60		-0,54	-10,83	10,84	18,29	33,26	37,96	191,73	755,55	779,50	1,07	61,19		23	0,00	0,00	0,75	7,36	0,00	1,14	0,82		""	""	""		"#N/A"	"#N/A"	756		-9,81	-1,15
0,10	8,70		-0,53	-10,77	10,78	18,24	32,18	36,99	193,55	758,82	783,12	1,06	60,46		23	0,00	0,00	0,75	7,36	0,00	1,14	0,78		""	""	""		"#N/A"	"#N/A"	759		-9,69	-1,10
0,10	8,80		-0,51	-10,72	10,73	18,19	31,11	36,04	195,37	761,99	786,64	1,04	59,69		23	0,00	0,00	0,75	7,36	0,00	1,14	0,74		""	""	""		"#N/A"	"#N/A"	762		-9,58	-1,04
0,10	8,90		-0,50	-10,66	10,67	18,14	30,05	35,10	197,19	765,04	790,05	1,03	58,88		23	0,00	0,00	0,75	7,36	0,00	1,13	0,70		""	""	""		"#N/A"	"#N/A"	765		-9,46	-0,99
0,10	9,00		-0,48	-10,61	10,62	18,09	28,98	34,17	199,00	768,00	793,36	1,01	58,03		23	0,00	0,00	0,75	7,36	0,00	1,13	0,67		""	""	""		9	199	768		-9,33	-0,94
0,10	9,10		-0,47	-10,56	10,57	18,04	27,93	33,25	200,81	770,84	796,57	1,00	57,13		23	0,00	0,00	0,75	7,36	0,00	1,13	0,63		""	""	""		"#N/A"	"#N/A"	771		-9,21	-0,89
0,10	9,20		-0,46	-10,52	10,53	18,00	26,88	32,35	202,61	773,58	799,68	0,98	56,19		23	0,00	0,00	0,75	7,36	0,00	1,13	0,60		""	""	""		"#N/A"	"#N/A"	774		-9,08	-0,84
0,10	9,30		-0,44	-10,47	10,48	17,95	25,83	31,46	204,41	776,22	802,68	0,96	55,20		23	0,00	0,00	0,75	7,36	0,00	1,13	0,56		""	""	""		"#N/A"	"#N/A"	776		-8,95	-0,79
0,10	9,40		-0,43	-10,43	10,44	17,91	24,79	30,58	206,20	778,75	805,59	0,95	54,15		23	0,00	0,00	0,75	7,36	0,00	1,13	0,53		""	""	""		"#N/A"	"#N/A"	779		-8,81	-0,75
0,10	9,50		-0,42	-10,39	10,39	17,87	23,75	29,72	207,99	781,18	808,39	0,93	53,04		23	0,00	0,00	0,75	7,36	0,00	1,13	0,50		""	""	""		"#N/A"	"#N/A"	781		-8,66	-0,71
0,10	9,60		-0,40	-10,35	10,35	17,83	22,71	28,88	209,78	783,50	811,10	0,91	51,87		23	0,00	0,00	0,75	7,36	0,00	1,13	0,47		""	""	""		"#N/A"	"#N/A"	783		-8,51	-0,67
0,10	9,70		-0,39	-10,31	10,31	17,79	21,68	28,05	211,56	785,72	813,70	0,88	50,63		23	0,00	0,00	0,75	7,36	0,00	1,13	0,45		""	""	""		"#N/A"	"#N/A"	786		-8,35	-0,63
0,10	9,80		-0,38	-10,27	10,28	17,75	20,66	27,24	213,33	787,84	816,21	0,86	49,32		23	0,00	0,00	0,75	7,36	0,00	1,13	0,42		""	""	""		"#N/A"	"#N/A"	788		-8,18	-0,60
0,10	9,90		-0,37	-10,24	10,24	17,72	19,63	26,44	215,11	789,85	818,62	0,84	47,94		23	0,00	0,00	0,75	7,36	0,00	1,13	0,40		""	""	""		"#N/A"	"#N/A"	790		-8,00	-0,56
0,10	10,00		-0,36	-10,20	10,21	17,68	18,61	25,67	216,88	791,76	820,93	0,81	46,47		23	0,00	0,00	0,75	7,36	0,00	1,13	0,37		""	""	""		10	217	792		-7,81	-0,53
0,10	10,10		-0,34	-10,17	10,18	17,65	17,60	24,92	218,64	793,57	823,14	0,78	44,92		23	0,00	0,00	0,75	7,36	0,00	1,13	0,35		""	""	""		"#N/A"	"#N/A"	794		-7,61	-0,50
0,10	10,20		-0,33	-10,14	10,15	17,61	16,58	24,19	220,41	795,28	825,26	0,76	43,27		23	0,00	0,00	0,75	7,36	0,00	1,13	0,33		""	""	""		"#N/A"	"#N/A"	795		-7,40	-0,47
0,10	10,30		-0,32	-10,11	10,12	17,58	15,57	23,48	222,17	796,89	827,28	0,72	41,53		23	0,00	0,00	0,75	7,36	0,00	1,13	0,31		""	""	""		"#N/A"	"#N/A"	797		-7,17	-0,44
0,10	10,40		-0,31	-10,09	10,09	17,55	14,56	22,80	223,92	798,40	829,20	0,69	39,68		23	0,00	0,00	0,75	7,36	0,00	1,13	0,30		""	""	""		"#N/A"	"#N/A"	798		-6,92	-0,42
0,10	10,50		-0,30	-10,06	10,07	17,52	13,55	22,15	225,68	799,80	831,03	0,66	37,73		23	0,00	0,00	0,75	7,36	0,00	1,13	0,28		""	""	""		"#N/A"	"#N/A"	800		-6,66	-0,39
0,10	10,60		-0,29	-10,04	10,04	17,49	12,55	21,53	227,43	801,11	832,76	0,62	35,66		23	0,00	0,00	0,75	7,36	0,00	1,13	0,26		""	""	""		"#N/A"	"#N/A"	801		-6,37	-0,37
0,10	10,70		-0,29	-10,01	10,02	17,46	11,55	20,93	229,17	802,31	834,40	0,58	33,48		23	0,00	0,00	0,75	7,36	0,00	1,13	0,25		""	""	""		"#N/A"	"#N/A"	802		-6,07	-0,35
0,10	10,80		-0,28	-9,99	10,00	17,43	10,55	20,38	230,92	803,42	835,94	0,54	31,18		23	0,00	0,00	0,75	7,36	0,00	1,13	0,24		""	""	""		"#N/A"	"#N/A"	803		-5,74	-0,33
0,10	10,90		-0,27	-9,97	9,98	17,41	9,55	19,86	232,66	804,42	837,39	0,50	28,76		23	0,00	0,00	0,75	7,36	0,00	1,13	0,22		""	""	""		"#N/A"	"#N/A"	804		-5,39	-0,31
0,10	11,00		-0,26	-9,95	9,96	17,38	8,56	19,37	234,40	805,33	838,75	0,46	26,21		23	0,00	0,00	0,75	7,36	0,00	1,13	0,21		""	""	""		11	234	805		-5,02	-0,30
0,10	11,10		-0,25	-9,94	9,94	17,35	7,56	18,93	236,14	806,13	840,01	0,41	23,55		23	0,00	0,00	0,75	7,36	0,00	1,13	0,20		""	""	""		"#N/A"	"#N/A"	806		-4,62	-0,28
0,10	11,20		-0,25	-9,92	9,92	17,33	6,57	18,53	237,87	806,84	841,17	0,36	20,77		23	0,00	0,00	0,75	7,36	0,00	1,13	0,19		""	""	""		"#N/A"	"#N/A"	807		-4,19	-0,27
0,10	11,30		-0,24	-9,90	9,91	17,31	5,58	18,18	239,60	807,45	842,25	0,31	17,88		23	0,00	0,00	0,75	7,36	0,00	1,13	0,19		""	""	""		"#N/A"	"#N/A"	807		-3,74	-0,26
0,10	11,40		-0,24	-9,89	9,89	17,28	4,59	17,88	241,33	807,96	843,23	0,26	14,88		23	0,00	0,00	0,75	7,36	0,00	1,13	0,18		""	""	""		"#N/A"	"#N/A"	808		-3,26	-0,25
0,10	11,50		-0,23	-9,87	9,87	17,26	3,61	17,63	243,06	808,37	844,12	0,21	11,80		23	0,00	0,00	0,75	7,36	0,00	1,13	0,18		""	""	""		"#N/A"	"#N/A"	808		-2,76	-0,24
0,10	11,60		-0,23	-9,86	9,86	17,24	2,62	17,43	244,78	808,68	844,91	0,15	8,64		23	0,00	0,00	0,75	7,36	0,00	1,13	0,17		""	""	""		"#N/A"	"#N/A"	809		-2,24	-0,24
0,10	11,70		-0,23	-9,84	9,85	17,21	1,64	17,29	246,51	808,89	845,62	0,09	5,43		23	0,00	0,00	0,75	7,36	0,00	1,13	0,17		""	""	""		"#N/A"	"#N/A"	809		-1,70	-0,23
0,10	11,80		-0,23	-9,83	9,83	17,19	0,65	17,20	248,23	809,00	846,23	0,04	2,17		23	0,00	0,00	0,75	7,36	0,00	1,13	0,17		"Apogée"	""	""		"#N/A"	"#N/A"	809		-1,15	-0,23
0,10	11,90		-0,22	-9,82	9,82	17,17	-0,33	17,17	249,94	809,02	846,75	-0,02	-1,10		23	0,00	0,00	0,75	7,36	0,00	1,13	0,17		""	""	""		"#N/A"	"#N/A"	809		-0,60	-0,22
0,10	12,00		-0,22	-9,81	9,81	17,15	-1,31	17,20	251,66	808,94	847,18	-0,08	-4,37		23	0,00	0,00	0,75	7,36	0,00	1,13	0,17		""	""	""		12	252	809		-0,03	-0,22
0,10	12,10		-0,22	-9,79	9,80	17,12	-2,29	17,28	253,37	808,76	847,52	-0,13	-7,61		23	0,00	0,00	0,75	7,36	0,00	1,13	0,17		""	""	""		"#N/A"	"#N/A"	809		0,52	-0,22
0,10	12,20		-0,22	-9,78	9,78	17,10	-3,27	17,41	255,08	808,48	847,77	-0,19	-10,82		23	0,00	0,00	0,75	7,36	0,00	1,13	0,17		""	""	""		"#N/A"	"#N/A"	808		1,07	-0,23
0,10	12,30		-0,23	-9,77	9,77	17,08	-4,24	17,60	256,79	808,11	847,93	-0,24	-13,95		23	0,00	0,00	0,75	7,36	0,00	1,13	0,18		""	""	""		"#N/A"	"#N/A"	808		1,61	-0,23
0,10	12,40		-0,23	-9,75	9,76	17,06	-5,22	17,84	258,50	807,63	847,99	-0,30	-17,01		23	0,00	0,00	0,75	7,36	0,00	1,13	0,18		""	""	""		"#N/A"	"#N/A"	808		2,13	-0,23
0,10	12,50		-0,23	-9,74	9,74	17,03	-6,19	18,12	260,20	807,06	847,97	-0,35	-19,98		23	0,00	0,00	0,75	7,36	0,00	1,13	0,19		""	""	""		"#N/A"	"#N/A"	807		2,63	-0,24
0,10	12,60		-0,23	-9,73	9,73	17,01	-7,17	18,46	261,91	806,39	847,86	-0,40	-22,84		23	0,00	0,00	0,75	7,36	0,00	1,13	0,19		""	""	""		"#N/A"	"#N/A"	806		3,10	-0,25
0,10	12,70		-0,24	-9,71	9,71	16,99	-8,14	18,83	263,61	805,63	847,66	-0,45	-25,60		23	0,00	0,00	0,75	7,36	0,00	1,13	0,20		""	""	""		"#N/A"	"#N/A"	806		3,55	-0,26
0,10	12,80		-0,24	-9,69	9,70	16,96	-9,11	19,25	265,30	804,77	847,37	-0,49	-28,23		23	0,00	0,00	0,75	7,36	0,00	1,13	0,21		""	""	""		"#N/A"	"#N/A"	805		3,97	-0,27
0,10	12,90		-0,25	-9,68	9,68	16,94	-10,07	19,71	267,00	803,81	846,99	-0,54	-30,74		23	0,00	0,00	0,75	7,36	0,00	1,13	0,22		""	""	""		"#N/A"	"#N/A"	804		4,36	-0,28
0,10	13,00		-0,25	-9,66	9,66	16,91	-11,04	20,20	268,69	802,75	846,53	-0,58	-33,14		23	0,00	0,00	0,75	7,36	0,00	1,13	0,23		""	"Para"	""		13	269	"#N/A"		4,72	-0,29
0,10	13,10		-0,26	-9,64	9,64	16,89	-12,00	20,72	270,38	801,60	845,97	-0,62	-35,41		23	0,00	0,00	0,75	7,36	0,00	1,13	0,24		""	""	""		"#N/A"	"#N/A"	"#N/A"		5,05	-0,31
0,10	13,20		-0,26	-9,62	9,63	16,86	-12,97	21,27	272,07	800,35	845,33	-0,66	-37,56		23	0,00	0,00	0,75	7,36	0,00	1,13	0,26		""	""	""		"#N/A"	"#N/A"	"#N/A"		5,36	-0,32
0,10	13,30		-0,27	-9,60	9,61	16,83	-13,93	21,85	273,75	799,01	844,60	-0,69	-39,60		23	0,00	0,00	0,75	7,36	0,00	1,13	0,27		""	""	""		"#N/A"	"#N/A"	"#N/A"		5,64	-0,34
0,10	13,40		-0,28	-9,58	9,58	16,80	-14,88	22,45	275,43	797,57	843,79	-0,72	-41,53		23	0,00	0,00	0,75	7,36	0,00	1,13	0,29		""	""	""		"#N/A"	"#N/A"	"#N/A"		5,89	-0,36
0,10	13,50		-0,29	-9,56	9,56	16,78	-15,84	23,07	277,11	796,03	842,89	-0,76	-43,36		23	0,00	0,00	0,75	7,36	0,00	1,13	0,30		""	""	""		"#N/A"	"#N/A"	"#N/A"		6,12	-0,38
0,10	13,60		-0,29	-9,53	9,54	16,75	-16,79	23,72	278,79	794,40	841,90	-0,79	-45,08		23	0,00	0,00	0,75	7,36	0,00	1,13	0,32		""	""	""		"#N/A"	"#N/A"	"#N/A"		6,33	-0,40
0,10	13,70		-0,30	-9,51	9,51	16,72	-17,74	24,38	280,46	792,67	840,83	-0,82	-46,71		23	0,00	0,00	0,75	7,36	0,00	1,13	0,34		""	""	""		"#N/A"	"#N/A"	"#N/A"		6,52	-0,43
0,10	13,80		-0,31	-9,48	9,49	16,68	-18,69	25,06	282,13	790,85	839,67	-0,84	-48,25		23	0,00	0,00	0,75	7,36	0,00	1,13	0,36		""	""	""		"#N/A"	"#N/A"	"#N/A"		6,69	-0,45
0,10	13,90		-0,32	-9,46	9,46	16,65	-19,64	25,75	283,80	788,93	838,43	-0,87	-49,70		23	0,00	0,00	0,75	7,36	0,00	1,13	0,38		""	""	""		"#N/A"	"#N/A"	"#N/A"		6,84	-0,48
0,10	14,00		-0,33	-9,43	9,43	16,62	-20,58	26,45	285,46	786,92	837,10	-0,89	-51,08		23	0,00	0,00	0,75	7,36	0,00	1,13	0,40		""	""	""		14	285	"#N/A"		6,98	-0,50
0,10	14,10		-0,33	-9,40	9,40	16,59	-21,52	27,17	287,12	784,82	835,69	-0,91	-52,38		23	0,00	0,00	0,75	7,36	0,00	1,13	0,42		""	""	""		"#N/A"	"#N/A"	"#N/A"		7,10	-0,53
0,10	14,20		-0,34	-9,37	9,37	16,55	-22,46	27,90	288,78	782,62	834,20	-0,94	-53,61		23	0,00	0,00	0,75	7,36	0,00	1,13	0,44		""	""	""		"#N/A"	"#N/A"	"#N/A"		7,21	-0,56
0,10	14,30		-0,35	-9,33	9,34	16,52	-23,39	28,63	290,43	780,33	832,62	-0,96	-54,77		23	0,00	0,00	0,75	7,36	0,00	1,13	0,47		""	""	""		"#N/A"	"#N/A"	"#N/A"		7,31	-0,59
0,10	14,40		-0,36	-9,30	9,31	16,48	-24,32	29,38	292,08	777,94	830,97	-0,98	-55,87		23	0,00	0,00	0,75	7,36	0,00	1,13	0,49		""	""	""		"#N/A"	"#N/A"	"#N/A"		7,39	-0,62
0,10	14,50		-0,37	-9,27	9,28	16,45	-25,25	30,13	293,73	775,46	829,23	-0,99	-56,92		23	0,00	0,00	0,75	7,36	0,00	1,13	0,52		""	""	""		"#N/A"	"#N/A"	"#N/A"		7,47	-0,66
0,10	14,60		-0,38	-9,23	9,24	16,41	-26,17	30,89	295,37	772,89	827,41	-1,01	-57,91		23	0,00	0,00	0,75	7,36	0,00	1,13	0,54		""	""	""		"#N/A"	"#N/A"	"#N/A"		7,53	-0,69
0,10	14,70		-0,38	-9,20	9,20	16,37	-27,09	31,65	297,01	770,23	825,51	-1,03	-58,86		23	0,00	0,00	0,75	7,36	0,00	1,13	0,57		""	""	""		"#N/A"	"#N/A"	"#N/A"		7,59	-0,72
0,10	14,80		-0,39	-9,16	9,17	16,33	-28,01	32,42	298,65	767,47	823,53	-1,04	-59,75		23	0,00	0,00	0,75	7,36	0,00	1,13	0,60		""	""	""		"#N/A"	"#N/A"	"#N/A"		7,64	-0,76
0,10	14,90		-0,40	-9,12	9,13	16,29	-28,92	33,19	300,28	764,63	821,48	-1,06	-60,61		23	0,00	0,00	0,75	7,36	0,00	1,13	0,63		""	""	""		"#N/A"	"#N/A"	"#N/A"		7,68	-0,80
0,10	15,00		-0,41	-9,08	9,09	16,25	-29,83	33,96	301,90	761,69	819,34	-1,07	-61,42		23	0,00	0,00	0,75	7,36	0,00	1,14	0,66		""	""	""		15	302	"#N/A"		7,71	-0,84
0,10	15,10		-0,42	-9,04	9,05	16,21	-30,73	34,74	303,53	758,66	817,13	-1,09	-62,19		23	0,00	0,00	0,75	7,36	0,00	1,14	0,69		""	""	""		"#N/A"	"#N/A"	"#N/A"		7,74	-0,88
0,10	15,20		-0,43	-9,00	9,01	16,16	-31,63	35,52	305,15	755,54	814,84	-1,10	-62,93		23	0,00	0,00	0,75	7,36	0,00	1,14	0,72		""	""	""		"#N/A"	"#N/A"	"#N/A"		7,76	-0,92
0,10	15,30		-0,44	-8,96	8,97	16,12	-32,53	36,30	306,76	752,34	812,47	-1,11	-63,64		23	0,00	0,00	0,75	7,36	0,00	1,14	0,75		""	""	""		"#N/A"	"#N/A"	"#N/A"		7,78	-0,96
0,10	15,40		-0,45	-8,91	8,92	16,08	-33,42	37,08	308,37	749,04	810,03	-1,12	-64,31		23	0,00	0,00	0,75	7,36	0,00	1,14	0,78		""	""	""		"#N/A"	"#N/A"	"#N/A"		7,79	-1,00
0,10	15,50		-0,45	-8,87	8,88	16,03	-34,30	37,86	309,98	745,65	807,52	-1,13	-64,95		23	0,00	0,00	0,75	7,36	0,00	1,14	0,82		""	""	""		"#N/A"	"#N/A"	"#N/A"		7,79	-1,05
0,10	15,60		-0,46	-8,82	8,83	15,98	-35,19	38,65	311,58	742,18	804,93	-1,14	-65,57		23	0,00	0,00	0,75	7,36	0,00	1,14	0,85		""	""	""		"#N/A"	"#N/A"	"#N/A"		7,80	-1,09
0,10	15,70		-0,47	-8,77	8,79	15,94	-36,06	39,43	313,17	738,62	802,27	-1,15	-66,16		23	0,00	0,00	0,75	7,36	0,00	1,14	0,89		""	""	""		"#N/A"	"#N/A"	"#N/A"		7,79	-1,14
